##### page 1 : 6 residual bands
  y  323-  337 x  189-  555 ink=10353  canbetransmittedfromparentstotheoffspringwhenboththepartners
  y  334-  349 x  189-  555 ink=10829  are carrierfor the gene (or heterozygous).The diseaseis controlled by a
  y  362-  374 x  189-  553 ink=8068   (no text)
  y  446-  541 x  158-  490 ink=287392 GO
  y  570-  596 x  260-  470 ink=842    (no text)
  y  606-  633 x  259-  470 ink=832    (no text)
  y  633-  658 x  134-  499 ink=18694  ValHHisHLeuHThrHProHGluHGlu | ValHHisHLeuHThrHProHValHGlu
  y  655-  667 x  141-  491 ink=1371   5 | 6 | 8 | 4 | 5 | 6 | 7 | 1 | 2 | 3 | 4 | 7 | 1 | 2
##### page 25 : 3 residual bands
  y   59-  101 x  483-  612 ink=41766  (no text)
  y  262-  276 x   58-  423 ink=10064  retardation.These are alsoexcreted throughurinebecauseofitspoor
  y  620-  632 x   58-  423 ink=8331   Similarly,Turner'ssyndromeresultsduetolossofanXchromosomein
##### page 26 : 3 residual bands
  y   59-  101 x    0-  130 ink=42411  (no text)
  y  101-  254 x  218-  551 ink=344787 ad | Broad flat face | Big and wrinkled | tongue | 花 | n060 | Congenital heart | disease | 88 | 6D
  y  299-  499 x   95-  239 ink=29002  八 | (b)
##### page 27 : 2 residual bands
  y   59-  101 x  483-  612 ink=41766  (no text)
  y  314-  324 x   72-  414 ink=6114   be expressed again when it
##### page 28 : 1 residual bands
  y   59-  101 x    0-  130 ink=42411  (no text)
EXIT=0
